Pakistan,18114,1297,417,,32,Clusters of cases,0
Qatar,14096,687,12,,2,Pending,0
United Arab Emirates,13038,557,111,,6,Pending,0
Egypt,5895,358,406,,14,Clusters of cases,0
Morocco,4569,146,171,,1,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Kuwait,4377,353,30,4,Clusters of cases,0
Bahrain,3170,130,8,0,Clusters of cases,0
Oman,2483,36,11,0,Clusters of cases,0
Afghanistan,2469,298,72,8,Clusters of cases,0
Iraq,2153,68,94,1,Clusters of cases,0
Djibouti,1097,8,2,0,Clusters of cases,0
Tunisia,998,4,41,0,Community transmission,0
Lebanon,729,4,24,0,Clusters of cases,0
Somalia,601,0,28,0,Sporadic cases,1
Sudan,533,91,36,5,Sporadic cases,0
Jordan,459,6,8,0,Clusters of cases,0
Libya,63,2,3,0,Clusters of cases,0
Syrian Arab Republic,44,1,3,0,Community transmission,0
Yemen,7,1,2,0,Pending,0
Territoriesii,,,,,,
occupied Palestinian territory,353,9,2,0,Clusters of cases,0
Europe,,,,,,
Spain,215216,1781,24824,281,Community transmission,0
Italy,207428,1965,28236,269,Community transmission,0
The United Kingdom,177458,6201,27510,739,Community transmission,0
Germany,161703,2584,6575,287,Community transmission,0
France,128722,601,24560,218,Community transmission,0
Russian Federation,124054,9623,1222,53,Clusters of cases,0
Turkey,122392,2188,3258,84,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,49032,513,7703,109,Community transmission,0
Netherlands,39791,475,4893,98,Community transmission,0
Switzerland,29622,119,1434,12,Community transmission,0
Portugal,25351,295,1007,18,Community transmission,0
Sweden,21520,428,2653,67,Community transmission,0
Ireland,20833,221,1265,33,Community transmission,0
Israel,16152,148,227,4,Pending,0
Austria,15531,74,589,5,Community transmission,0
Belarus,14917,890,93,4,Clusters of cases,0
Poland,13105,228,651,7,Community transmission,0
Romania,12567,327,744,27,Community transmission,0
Ukraine,11411,550,279,7,Community transmission,0
Denmark,9311,153,460,8,Pending,0
Serbia,9205,196,185,6,Pending,0
Norway,7759,49,204,0,Pending,0
Czechia,7737,55,240,4,Community transmission,0
Finland,5051,56,218,7,Pending,0
Republic of Moldova,3980,83,122,3,Pending,0
Luxembourg,3802,18,92,2,Pending,0
Kazakhstan,3785,234,25,0,Pending,0
Hungary,2942,79,335,12,Clusters of cases,0
Greece,2591,0,140,0,Community transmission,1
Armenia,2273,125,33,0,Clusters of cases,0
Uzbekistan,2094,48,9,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Croatia,2085,9,75,6,Community transmission,0
Azerbaijan,1854,50,25,1,Clusters of cases,0
Iceland,1798,1,10,0,Community transmission,0
Bosnia and Herzegovina,1757,0,68,0,Community transmission,1
Estonia,1694,5,52,0,Pending,0
Bulgaria,1588,82,69,3,Clusters of cases,0
North Macedonia,1494,29,81,4,Clusters of cases,0
Slovenia,1434,5,93,2,Community transmission,0
Slovakia,1403,7,23,0,Clusters of cases,0
Lithuania,1399,14,45,0,Community transmission,0
Latvia,870,12,16,1,Community transmission,0
Cyprus,857,7,20,0,Clusters of cases,0
Albania,789,16,31,0,Clusters of cases,0
Kyrgyzstan,769,13,8,0,Clusters of cases,0
Andorra,746,0,43,1,Community transmission,1
Georgia,582,16,8,2,Community transmission,0
San Marino,580,11,41,0,Community transmission,0
Malta,467,2,4,0,Pending,0
Montenegro,322,0,7,0,Clusters of cases,2
Liechtenstein,83,0,1,0,Pending,6
Monaco,68,0,1,0,Sporadic cases,18
Tajikistan,32,17,0,0,Pending,0
Holy See,11,0,0,0,Sporadic cases,1
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Territoriesii,,,,,,
Kosovo[1],813,14,22,0,Community transmission,0
Isle of Man,311,0,22,0,Pending,1
Jersey,290,0,22,2,Pending,1
Guernsey,251,0,13,0,Community transmission,1
Faroe Islands,187,0,0,0,Pending,8
Gibraltar,144,3,0,0,Clusters of cases,0
Greenland,11,0,0,0,Pending,26
South-East Asia,,,,,,
India,37336,2293,1218,71,Clusters of cases,0
Indonesia,10551,433,800,8,Community transmission,0
Bangladesh,8238,571,170,2,Pending,0
Thailand,2966,6,54,0,Clusters of cases,0
Sri Lanka,690,25,7,0,Clusters of cases,0
Maldives,468,72,1,1,Clusters of cases,0
Myanmar,151,0,6,0,Clusters of cases,1
Nepal,59,2,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,8
Bhutan,7,0,0,0,Sporadic cases,9
Western Pacific,,,,,,
China,84388,3,4643,0,Clusters of cases,0
Singapore,17101,932,16,1,Clusters of cases,0
Japan,14545,264,454,22,Clusters of cases,0
Republic of Korea,10780,6,250,2,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Philippines,8772,284,579,11,Clusters of cases,0
Australia,6767,5,93,1,Clusters of cases,0
Malaysia,6071,69,103,1,Clusters of cases,0
New Zealand,1134,2,20,1,Clusters of cases,0
Viet Nam,270,0,0,0,Clusters of cases,7
Brunei Darussalam,138,0,1,0,Sporadic cases,12
Cambodia,122,0,0,0,Sporadic cases,20
Mongolia,38,0,0,0,Sporadic cases,5
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,19
Fiji,18,0,0,0,Sporadic cases,11
Papua New Guinea,8,0,0,0,Sporadic cases,9
Territoriesii,,,,,,
Guam,142,0,5,0,Clusters of cases,1
French Polynesia,58,0,0,0,Sporadic cases,4
New Caledonia,18,0,0,0,Sporadic cases,29
Northern Mariana Islands,,,,,,
(Commonwealth of the),14,0,2,0,Pending,14
Subtotal for all regions,3 266 472,91 977,229 958,5799,,
Other*,712,0,13,0,-,47
Grand total,,,,,,
"",3 267 184,91 977,229 971,5799,,
