No new country/territory/area reported cases of COVID-19 in the past 24 hours.
WHO and the European Investment Bank yesterday signed a collaboration agreement to accelerate
investment in health preparedness and primary healthcare in countries most vulnerable to the COVID-19
pandemic. The first phase will strengthen primary healthcare in ten African countries.  The Director-
"General Dr. Tedros, in his regular media briefing yesterday said that, with the signing of the agreement,"
“We are deepening our relationship with the European Union”.  He also reminded all that the European
Commission will host a pledging conference on 4 May to raise funds for investment in vaccine research.
""
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,5951,304,116,13,Community transmission,0
Algeria,4154,148,453,3,Community transmission,0
Nigeria,2170,238,68,10,Community transmission,0
Ghana,2074,0,17,0,Clusters of cases,1
Cameroon,2069,237,61,0,Clusters of cases,0
Guinea,1537,42,7,0,Community transmission,0
Côte d’Ivoire,1275,0,14,0,Clusters of cases,1
Senegal,1024,91,9,0,Clusters of cases,0
Niger,728,9,33,1,Clusters of cases,0
Burkina Faso,649,4,44,1,Community transmission,0
Democratic Republic of the,,,,,,
Congo,604,32,32,1,Clusters of cases,0
Mali,508,18,26,0,Clusters of cases,0
United Republic of Tanzania,480,0,17,0,Clusters of cases,2
Kenya,411,15,21,4,Clusters of cases,0
Mauritius,332,0,10,0,Community transmission,5
Equatorial Guinea,315,0,2,0,Clusters of cases,3
Gabon,308,32,4,1,Clusters of cases,0
Guinea-Bissau,257,56,1,0,Sporadic cases,0
Rwanda,249,6,0,0,Clusters of cases,0
Congo,229,9,10,1,Clusters of cases,0
Liberia,152,11,18,2,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Sierra Leone,136,12,,8,1,Clusters of cases,0
Madagascar,135,3,,0,0,Clusters of cases,0
Ethiopia,133,2,,3,0,Clusters of cases,0
Togo,123,7,,9,0,Clusters of cases,0
Cabo Verde,121,0,,1,0,Sporadic cases,1
Zambia,109,3,,3,0,Sporadic cases,0
Eswatini,106,6,,1,0,Sporadic cases,0
Benin,90,6,,2,0,Sporadic cases,0
Uganda,83,2,,0,0,Sporadic cases,0
Mozambique,79,3,,0,0,Sporadic cases,0
Chad,73,0,,5,2,Sporadic cases,1
Central African Republic,64,0,,0,0,Sporadic cases,1
South Sudan,45,10,,0,0,Sporadic cases,0
Eritrea,39,0,,0,0,Sporadic cases,13
Malawi,37,0,,3,0,Sporadic cases,1
Zimbabwe,34,2,,4,0,Sporadic cases,0
Angola,29,2,,2,0,Sporadic cases,0
Botswana,23,0,,1,0,Sporadic cases,3
Namibia,16,0,,0,0,Sporadic cases,26
São Tomé and Príncipe,16,0,,1,0,Sporadic cases,1
Burundi,15,0,,1,0,Sporadic cases,5
Gambia,12,0,,1,0,Sporadic cases,1
Seychelles,11,0,,0,0,Sporadic cases,25
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Mauritania,8,0,1,,0,Sporadic cases,1
Comoros,1,0,0,,0,Pending,1
Territoriesii,,,,,,,
Mayotte,539,0,4,,0,Clusters of cases,1
Réunion,420,0,0,,0,Clusters of cases,2
Americas,,,,,,,
United States of America,1067127,31774,57406,,2069,Community transmission,0
Brazil,85380,7218,5901,,435,Community transmission,0
Canada,53657,1601,3223,,141,Community transmission,0
Peru,36976,3045,1051,,108,Community transmission,0
Ecuador,26336,1402,1063,,163,Community transmission,0
Mexico,19224,1425,1859,,127,Community transmission,0
Chile,17008,985,234,,7,Community transmission,0
Dominican Republic,7288,316,313,,12,Community transmission,0
Panama,6532,154,188,,10,Community transmission,0
Colombia,6507,296,293,,15,Community transmission,0
Argentina,4476,172,220,,5,Community transmission,0
Cuba,1537,36,64,,3,Clusters of cases,0
Bolivia (Plurinational State of),1167,57,62,,3,Clusters of cases,0
Honduras,804,33,75,,4,Clusters of cases,0
Costa Rica,719,6,6,,0,Clusters of cases,0
Uruguay,643,13,17,,2,Clusters of cases,0
Guatemala,599,14,16,,0,Clusters of cases,0
El Salvador,424,29,10,,1,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Jamaica,422,26,8,,1,Clusters of cases,0
Venezuela (Bolivarian Republic,,,,,,,
of),333,2,10,,0,Clusters of cases,0
Paraguay,266,17,10,,1,Community transmission,0
Trinidad and Tobago,116,0,8,,0,Sporadic cases,4
Guyana,82,4,9,,1,Clusters of cases,0
Bahamas,81,1,11,,0,Clusters of cases,0
Barbados,81,1,7,,0,Clusters of cases,0
Haiti,81,5,8,,1,Clusters of cases,0
Antigua and Barbuda,24,0,3,,0,Clusters of cases,9
Grenada,20,0,0,,0,Clusters of cases,1
Belize,18,0,2,,0,Sporadic cases,17
Saint Lucia,17,0,0,,0,Sporadic cases,2
Dominica,16,0,0,,0,Clusters of cases,21
Saint Vincent and the,,,,,,,
Grenadines,16,0,0,,0,Sporadic cases,2
Saint Kitts and Nevis,15,0,0,,0,Sporadic cases,11
Nicaragua,14,0,4,,0,Pending,1
Suriname,10,0,1,,0,Sporadic cases,28
Territoriesii,,,,,,,
Puerto Rico,1575,36,54,,0,Clusters of cases,0
Martinique,179,1,14,,0,Clusters of cases,0
Guadeloupe,152,0,12,,0,Clusters of cases,1
French Guiana,128,2,1,,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,,classificationi,reported case
Bermuda,114,3,6,,0,Clusters of cases,0
Aruba,100,0,2,,0,Clusters of cases,9
Sint Maarten,76,0,13,,0,Clusters of cases,1
Cayman Islands,73,0,1,,0,Clusters of cases,2
United States Virgin Islands,66,0,4,,0,Clusters of cases,1
Saint Martin,38,0,3,,0,Sporadic cases,9
Curaçao,16,0,1,,0,Sporadic cases,4
Falkland Islands (Malvinas),13,0,0,,0,Clusters of cases,6
Turks and Caicos Islands,12,0,1,,0,Sporadic cases,4
Montserrat,11,0,1,,0,Sporadic cases,18
"Bonaire, Sint Eustatius and",,,,,,,
Saba,6,0,0,,0,Sporadic cases,4
British Virgin Islands,6,0,1,,0,Sporadic cases,6
Saint Barthélemy,6,0,0,,0,Sporadic cases,32
Anguilla,3,0,0,,0,Sporadic cases,28
Saint Pierre and Miquelon,1,0,0,,0,Sporadic cases,24
Eastern Mediterranean,,,,,,,
Iran (Islamic Republic of),95646,1006,6091,,63,Community transmission,0
Saudi Arabia,24097,1344,169,,7,Clusters of cases,0
