The WHO World Health Assembly has ended with a global commitment to the COVID-19 response.
Delegates adopted a landmark resolution to bring the world together to fight the COVID-19 pandemic.
WHO has been supporting Somalia since the beginning of this outbreak to enhance its infection control
"measures, testing capacities, and case management. In particular, training has been provided for the"
"healthcare workers of the De-Martino hospital and 13 other isolation centres across the country, which"
"have also received medical supplies and budget support for salaries. However, so far, only 26% of WHO’s"
urgent appeal of US$ 21.95 million for emergency response to COVID-19 in Somalia has been funded.
"The World Day for Cultural Diversity for Dialogue and Development, celebrated every year on 21 May,"
"is an opportunity to celebrate not only the richness of the world’s cultures, but also the importance of"
cultural competency and intercultural dialogue within healthcare systems.  It also reminds us that public
health efforts against the COVID-19 pandemic require a whole-of-society approach and must include
vulnerable populations such as refugees and migrants in national plans and strategies.
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
United Arab Emirates,26 004,941,233,6,Pending,0
Kuwait,17 568,804,124,3,Clusters of cases,0
Egypt,14 229,745,680,21,Clusters of cases,0
Afghanistan,8 676,531,193,6,Clusters of cases,0
Bahrain,7 888,356,12,0,Clusters of cases,0
Morocco,7 133,110,194,1,Clusters of cases,0
Oman,6 370,699,30,3,Clusters of cases,0
Iraq,3 724,113,134,3,Clusters of cases,0
Sudan,3 138,410,121,10,Community transmission,0
Djibouti,1 828,210,9,2,Clusters of cases,0
Somalia,1 573,71,61,2,Sporadic cases,0
Tunisia,1 045,1,47,0,Community transmission,0
Lebanon,961,7,26,0,Clusters of cases,0
Jordan,672,23,9,0,Clusters of cases,0
Yemen,184,13,30,1,Pending,0
Libya,69,1,3,0,Clusters of cases,0
Syrian Arab Republic,58,0,3,0,Community transmission,3
Territoriesii,,,,,,
occupied Palestinian territory,577,7,4,0,Clusters of cases,0
Europe,,,,,,
Russian Federation,317 554,8 849,3 099,127,Clusters of cases,0
The United Kingdom,248 297,-525,35 704,363,Community transmission,0
Spain,232 555,518,27 888,110,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Italy,227 364,665,32 330,161,Community transmission,0
Germany,176 752,745,8 147,57,Community transmission,0
Turkey,152 587,972,4 222,23,Community transmission,0
France,141 312,353,28 081,109,Community transmission,0
Belgium,55 983,192,9 150,42,Community transmission,0
Netherlands,44 447,198,5 748,33,Community transmission,0
Belarus,33 371,1 863,185,10,Community transmission,0
Sweden,31 523,724,3 831,88,Community transmission,0
Switzerland,30 575,40,1 629,16,Community transmission,0
Portugal,29 660,228,1 263,16,Community transmission,0
Ireland,24 315,64,1 571,10,Community transmission,0
Poland,19 739,471,962,14,Community transmission,0
Ukraine,19 706,476,579,15,Community transmission,0
Romania,17 387,196,1 141,15,Community transmission,0
Israel,16 659,9,278,1,Pending,0
Austria,16 275,18,633,1,Community transmission,0
Denmark,11 117,73,554,3,Community transmission,0
Serbia,10 833,100,235,1,Pending,0
Czechia,8 721,74,304,2,Clusters of cases,0
Norway,8 268,11,234,1,Clusters of cases,0
Kazakhstan,7 234,265,35,0,Pending,0
Republic of Moldova,6 553,213,232,8,Pending,0
Finland,6 443,44,304,3,Pending,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Armenia,5 606,335,70,3,Clusters of cases,0
Luxembourg,3 971,13,109,0,Pending,0
Hungary,3 641,43,473,3,Community transmission,0
Azerbaijan,3 631,113,43,2,Clusters of cases,0
Uzbekistan,2 950,70,13,0,Clusters of cases,0
Greece,2 850,10,166,1,Clusters of cases,0
Bosnia and Herzegovina,2 334,15,135,2,Community transmission,0
Bulgaria,2 331,39,120,4,Clusters of cases,0
Croatia,2 234,2,96,0,Community transmission,0
Tajikistan,2 140,204,44,0,Pending,0
North Macedonia,1 858,19,110,4,Clusters of cases,0
Iceland,1 803,1,10,0,Community transmission,0
Estonia,1 794,3,64,0,Pending,0
Lithuania,1 577,15,60,0,Community transmission,0
Slovakia,1 496,1,28,0,Clusters of cases,0
Slovenia,1 468,1,105,1,Clusters of cases,0
Kyrgyzstan,1 313,43,14,0,Clusters of cases,0
Latvia,1 016,4,21,0,Clusters of cases,0
Albania,969,5,31,0,Clusters of cases,0
Cyprus,922,4,17,0,Clusters of cases,0
Andorra,762,1,51,0,Community transmission,0
Georgia,721,8,12,0,Community transmission,0
San Marino,670,2,41,0,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Malta,584,24,6,0,Sporadic cases,0
Montenegro,324,0,9,0,Clusters of cases,15
Monaco,96,0,1,0,Sporadic cases,10
Liechtenstein,83,0,1,0,Pending,25
Holy See,12,0,0,0,Sporadic cases,14
Territoriesii,,,,,,
Kosovo[1],989,0,29,0,Community transmission,1
Isle of Man,335,0,24,0,Pending,3
Jersey,303,0,28,1,Community transmission,1
Guernsey,252,0,13,0,Community transmission,18
Faroe Islands,187,0,0,0,Pending,27
