"",
Presidents Carlos Alvarado Quesada of Costa Rica and Sebastián Piñera of Chile joined the,
WHO Director-General Dr Tedros on 15 May to announce progress on a technology platform,
"that aims to lift access barriers to effective vaccines, medicines and other health products",
"against COVID-19. The platform, which will officially launch on 29 May, will pool data,",
knowledge and intellectual property for existing or new COVID-19 health products to,
deliver ‘global public goods’ for all people and all countries.,
Japan has agreed to contribute over US$2.7 million to help nine countries in the Americas,
"strengthen their capacities to detect cases, monitor, and control outbreaks of COVID-19, as wel",
as ensure that reliable public health information on the COVID-19 pandemic is available t,
people involved in the response and the general public,
A community of youth influencers named the Global Shapers Community is working with th,
"WHO Regional Office for Europe to ensure that tailored health advice reaches communities,",
families and individuals in countries across the European Region. This collaboration allow,
"young community members to flag rumours, report on the tone of discussions on their channels",
"and ask questions, as well as share information and project ideas to WHO. The information i",
then used by WHO to better tailor risk communication and address misinformation.,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,otal confirmed,,,Total confirmed,,Total deaths,otal deaths,Total new deaths,Total new deaths,,ransmission,,,Days since last,
"",ases,new cases,lassificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,otal deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Qatar,30 972,1 547,15,1,Community transmission,0
United Arab Emirates,22 627,796,214,4,Pending,0
Kuwait,13 802,942,107,11,Clusters of cases,0
Egypt,11 719,491,612,20,Clusters of cases,0
Bahrain,6 747,164,12,0,Clusters of cases,0
Morocco,6 741,89,192,2,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Afghanistan,6 635,233,169,1,Clusters of cases,0
Oman,5 186,157,22,2,Clusters of cases,0
Iraq,3 260,67,121,4,Clusters of cases,0
Sudan,2 289,325,97,6,Sporadic cases,0
Somalia,1 357,73,55,2,Sporadic cases,0
Djibouti,1 331,22,4,0,Clusters of cases,0
Tunisia,1 037,2,45,0,Community transmission,0
Lebanon,902,11,26,0,Clusters of cases,0
Jordan,607,11,9,0,Clusters of cases,0
Yemen,126,18,19,3,Pending,0
Libya,65,1,3,0,Clusters of cases,0
Syrian Arab Republic,51,1,3,0,Community transmission,0
Territoriesii,,,,,,
occupied Palestinian territory,555,1,4,0,Clusters of cases,0
Europe,,,,,,
Russian Federation,281 752,9 709,2 631,94,Clusters of cases,0
The United Kingdom,240 165,3 450,34 466,468,Community transmission,0
Spain,230 698,515,27 563,104,Community transmission,0
Italy,224 760,875,31 763,153,Community transmission,0
Germany,174 355,583,7 914,33,Community transmission,0
Turkey,148 067,1 610,4 096,41,Community transmission,0
France,140 008,362,27 578,96,Community transmission,0
Belgium,54 989,345,9 005,46,Community transmission,0
Netherlands,43 870,189,5 670,27,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Switzerland,30 489,58,1 601,7,Community transmission,0
Sweden,29 677,470,3 674,28,Community transmission,0
Portugal,28 810,227,1 203,13,Community transmission,0
Belarus,28 681,951,160,4,Clusters of cases,0
Ireland,24 048,92,1 533,15,Community transmission,0
Ukraine,18 291,433,514,17,Community transmission,0
Poland,18 257,241,915,8,Community transmission,0
Romania,16 704,267,1 081,25,Community transmission,0
Israel,16 608,19,268,2,Pending,0
Austria,16 140,72,628,0,Community transmission,0
Denmark,10 858,67,543,6,Community transmission,0
Serbia,10 496,58,228,3,Pending,0
Czechia,8 455,49,296,1,Community transmission,0
Norway,8 197,0,232,0,Clusters of cases,1
Finland,6 286,58,297,4,Pending,0
Kazakhstan,6 157,307,34,0,Pending,0
Republic of Moldova,5 934,189,209,5,Pending,0
Armenia,4 472,189,60,5,Clusters of cases,0
Luxembourg,3 930,7,104,0,Pending,0
Hungary,3 509,36,451,3,Community transmission,0
Azerbaijan,3 138,158,36,0,Clusters of cases,0
Greece,2 819,9,162,2,Clusters of cases,0
Uzbekistan,2 741,50,11,0,Clusters of cases,0
Bosnia and Herzegovina,2 265,28,131,4,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Croatia,2 224,2,95,0,Community transmission,0
Bulgaria,2 211,73,108,6,Clusters of cases,0
Iceland,1 802,0,10,0,Community transmission,3
Estonia,1 770,4,63,0,Pending,0
North Macedonia,1 762,22,98,1,Clusters of cases,0
Lithuania,1 534,11,55,1,Community transmission,0
Slovakia,1 493,13,28,1,Clusters of cases,0
Slovenia,1 465,0,103,0,Clusters of cases,1
Tajikistan,1 322,204,39,3,Pending,0
Kyrgyzstan,1 138,21,14,0,Clusters of cases,0
Latvia,997,27,19,0,Clusters of cases,0
Albania,946,13,31,0,Clusters of cases,0
Cyprus,914,4,17,0,Clusters of cases,0
Andorra,761,0,51,2,Community transmission,3
Georgia,695,18,12,0,Community transmission,0
San Marino,652,0,41,0,Community transmission,1
Malta,546,14,6,0,Sporadic cases,0
Montenegro,324,0,9,0,Clusters of cases,11
