""
The Emergency Relief Coordinator/UN Under-Secretary-General for Humanitarian Affairs Mark Lowcock
launched an update to the  Global Humanitarian Response Plan for COVID-19 (GHRP).  He was joined by
"the Executive Director of WHO’s Health Emergencies Programme, Dr Mike Ryan; the President and CEO"
"of Oxfam America, Abby Maxman; the UN High Commissioner for Refugees, Filippo Grandi; and the"
"Executive Director of the World Food Programme, David Beasley. The GHRP has a funding requirement"
of U$6.7 billion to protect millions of people already facing humanitarian crises in  several countries. For
"more information, a UN News Story and YouTube recording is available."
New interim guidance has been released by the Inter-Agency Standing Committee on how to adapt
COVID-19 prevention and response measures for use in low capacity and humanitarian settings.
WHO has released a video summarising key moments in the response so far.
""
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
British Virgin Islands,7,0,1,,0,Sporadic cases,3
"Bonaire, Sint Eustatius and",,,,,,,
Saba,6,0,0,,0,Sporadic cases,11
Saint Barthélemy,6,0,0,,0,Sporadic cases,39
Anguilla,3,0,0,,0,Sporadic cases,35
Saint Pierre and Miquelon,1,0,0,,0,Sporadic cases,31
Eastern Mediterranean,,,,,,,
Iran (Islamic Republic of),104 691,1556,6541,,55,Community transmission,0
Saudi Arabia,35 432,1701,229,,10,Clusters of cases,0
Pakistan,27 474,1637,618,,24,Clusters of cases,0
Qatar,20 201,1311,12,,0,Community transmission,0
United Arab Emirates,16 793,553,174,,9,Pending,0
Egypt,8476,495,503,,21,Clusters of cases,0
Kuwait,7208,641,47,,3,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Morocco,5711,163,186,3,Clusters of cases,0
Bahrain,4444,245,8,0,Clusters of cases,0
Afghanistan,3563,0,105,0,Clusters of cases,1
Oman,3224,112,17,2,Clusters of cases,0
Iraq,2603,60,104,2,Clusters of cases,0
Djibouti,1135,2,3,0,Clusters of cases,0
Sudan,1111,181,59,7,Sporadic cases,0
Tunisia,1030,4,45,1,Community transmission,0
Somalia,928,0,44,0,Sporadic cases,1
Lebanon,796,12,26,1,Clusters of cases,0
Jordan,508,14,9,0,Clusters of cases,0
Libya,64,0,3,0,Clusters of cases,2
Syrian Arab Republic,47,2,3,0,Community transmission,0
Yemen,36,10,8,2,Pending,0
Territoriesii,,,,,,
occupied Palestinian territory,547,0,4,0,Clusters of cases,1
Europe,,,,,,
Spain,222 857,1410,26 251,181,Community transmission,0
Italy,217 185,1327,30 201,243,Community transmission,0
The United Kingdom,211 368,4649,31 241,626,Community transmission,0
Russian Federation,198 676,10 817,1827,104,Clusters of cases,0
Germany,168 551,1251,7369,103,Community transmission,0
France,136 578,598,26 188,242,Community transmission,0
Turkey,135 569,1848,3689,48,Community transmission,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Belgium,52 011,591,8521,106,Community transmission,0
Netherlands,42 093,319,5359,71,Community transmission,0
Switzerland,30 168,125,1531,14,Community transmission,0
Portugal,27 268,553,1114,9,Community transmission,0
Sweden,25 265,642,3175,135,Community transmission,0
Ireland,22 541,156,1429,26,Community transmission,0
Belarus,21 101,933,121,5,Clusters of cases,0
Israel,16 444,98,245,6,Pending,0
Austria,15 735,62,614,5,Community transmission,0
Poland,15 366,319,776,21,Community transmission,0
Romania,14 811,312,898,22,Community transmission,0
Ukraine,14 710,515,376,15,Community transmission,0
Denmark,10 218,135,522,8,Pending,0
Serbia,9943,95,209,3,Pending,0
Czechia,8077,46,273,3,Community transmission,0
Norway,8034,39,213,4,Pending,0
Finland,5738,65,260,5,Pending,0
Kazakhstan,4922,344,31,1,Pending,0
Republic of Moldova,4728,123,159,14,Pending,0
Luxembourg,3871,12,100,0,Pending,0
Hungary,3213,35,405,13,Clusters of cases,0
Armenia,3175,146,44,1,Clusters of cases,0
Greece,2691,13,150,2,Community transmission,0
Uzbekistan,2336,22,10,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Azerbaijan,2279,75,28,0,Clusters of cases,0
Croatia,2161,36,86,0,Community transmission,0
Bosnia and Herzegovina,2070,43,97,8,Community transmission,0
Bulgaria,1911,82,88,4,Clusters of cases,0
Iceland,1801,0,10,0,Community transmission,1
Estonia,1725,5,56,0,Pending,0
North Macedonia,1586,14,90,1,Clusters of cases,0
Slovakia,1455,10,26,0,Clusters of cases,0
Slovenia,1450,1,100,1,Community transmission,0
Lithuania,1436,3,49,0,Community transmission,0
Kyrgyzstan,931,25,12,0,Clusters of cases,0
Latvia,928,19,18,0,Community transmission,0
Cyprus,891,2,21,0,Clusters of cases,0
Albania,856,6,31,0,Clusters of cases,0
Andorra,754,2,47,0,Community transmission,0
San Marino,632,0,41,0,Community transmission,1
Georgia,626,3,10,1,Community transmission,0
Tajikistan,522,61,18,2,Pending,0
Malta,489,3,5,0,Pending,0
Montenegro,324,0,8,0,Clusters of cases,3
Monaco,95,0,1,0,Sporadic cases,5
Liechtenstein,83,0,1,0,Pending,13
Holy See,12,0,0,0,Sporadic cases,2
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
erritoriesii,,,,,,
Kosovo[1],862,1,28,1,Community transmission,0
Isle of Man,329,2,23,0,Pending,0
Jersey,293,0,25,0,Pending,3
Guernsey,252,0,13,0,Community transmission,6
Faroe Islands,187,0,0,0,Pending,15
Gibraltar,144,0,0,0,Clusters of cases,7
Greenland,11,0,0,0,Pending,33
South-East Asia,,,,,,
India,59 662,3320,1981,95,Clusters of cases,0
Bangladesh,13 134,709,206,20,Clusters of cases,0
Indonesia,13 112,336,943,13,Community transmission,0
Thailand,3004,4,56,1,Clusters of cases,0
Sri Lanka,835,38,9,0,Clusters of cases,0
Maldives,744,96,3,0,Clusters of cases,0
Myanmar,177,1,6,0,Clusters of cases,0
Nepal,109,10,0,0,Sporadic cases,0
Timor-Leste,24,0,0,0,Clusters of cases,15
Bhutan,7,0,0,0,Sporadic cases,16
Western Pacific,,,,,,
China,84 416,1,4643,0,Clusters of cases,0
Singapore,21 707,768,20,0,Clusters of cases,0
Japan,15 649,102,600,43,Clusters of cases,0
Republic of Korea,10 840,18,256,0,Clusters of cases,0
Reporting Country/,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Territory/Area,cases,new cases,,,classificationi,reported case
Philippines,10 463,120,696,11,Clusters of cases,0
Australia,6914,18,97,0,Clusters of cases,0
Malaysia,6535,68,107,0,Clusters of cases,0
New Zealand,1142,1,21,0,Clusters of cases,0
Viet Nam,288,0,0,0,Clusters of cases,1
Brunei Darussalam,141,0,1,0,Sporadic cases,1
Cambodia,122,0,0,0,Sporadic cases,27
Mongolia,42,1,0,0,Sporadic cases,0
Lao People's Democratic,,,,,,
Republic,19,0,0,0,Sporadic cases,26
Fiji,18,0,0,0,Sporadic cases,18
Papua New Guinea,8,0,0,0,Sporadic cases,16
Territoriesii,,,,,,
Guam,147,0,5,0,Clusters of cases,2
French Polynesia,60,0,0,0,Sporadic cases,3
New Caledonia,18,0,0,0,Sporadic cases,36
Northern Mariana Islands,,,,,,
(Commonwealth of the),15,0,2,0,Pending,2
Subtotal for all regions,3 855 097,95 866,265 848,6387,,
Other*,712,0,13,0,-,54
Grand total,,,,,,
"",3 855 809,95 866,265 861,6387,,
