Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Africa,,,,,,
South Africa,45 973,2 539,952,44,Community transmission,0
Nigeria,12 233,389,342,9,Community transmission,0
Algeria,10 050,115,698,8,Community transmission,0
Ghana,9 462,294,44,2,Community transmission,0
Cameroon,7 599,207,212,7,Community transmission,0
Senegal,4 249,94,47,2,Community transmission,0
Guinea,4 117,57,23,0,Community transmission,0
Democratic Republic of the Congo,3 877,114,81,1,Community transmission,0
Côte d’Ivoire,3 557,126,36,0,Community transmission,0
Gabon,3 101,0,21,0,Community transmission,1
Kenya,2 600,126,83,4,Community transmission,0
Ethiopia,1 934,129,20,1,Clusters of cases,0
Central African Republic,1 570,119,5,1,Clusters of cases,0
Mali,1 523,38,90,3,Community transmission,0
Guinea-Bissau,1 368,0,12,0,Community transmission,1
South Sudan,1 317,0,14,0,Clusters of cases,3
Zambia,1 154,43,7,0,Community transmission,0
Equatorial Guinea,1 043,0,12,0,Community transmission,14
Madagascar,1 026,51,8,1,Clusters of cases,0
Niger,970,4,65,0,Community transmission,0
Mauritania,947,64,43,0,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Sierra Leone,946,17,48,1,Community transmission,0
Burkina Faso,888,3,53,0,Community transmission,0
Chad,836,0,69,1,Community transmission,1
Uganda,722,36,0,0,Sporadic cases,0
Congo,653,14,20,0,Community transmission,0
Cabo Verde,542,6,5,0,Clusters of cases,0
United Republic of Tanzania,509,0,21,0,Community transmission,30
Togo,487,2,13,0,Community transmission,0
Rwanda,431,11,2,0,Sporadic cases,0
Malawi,409,0,4,0,Clusters of cases,1
Mozambique,409,57,2,0,Clusters of cases,0
Liberia,345,11,30,0,Community transmission,0
Mauritius,337,0,10,0,Clusters of cases,1
Eswatini,322,17,3,0,Clusters of cases,0
São Tomé and Príncipe,295,0,10,0,Clusters of cases,11
Zimbabwe,279,14,4,0,Sporadic cases,0
Benin,268,7,4,1,Community transmission,0
Comoros,97,35,2,0,Community transmission,0
Angola,86,0,4,0,Clusters of cases,6
Burundi,83,20,1,0,Clusters of cases,0
Eritrea,41,0,0,0,Sporadic cases,2
Botswana,40,0,1,0,Clusters of cases,4
Namibia,29,4,0,0,Sporadic cases,0
