Today we document a somber landmark: 10 million cases and nearly 500 000 deaths of COVID-19 have now
"been reported globally.  This comes amidst recent record numbers of new cases, with several countries"
reporting their highest number of new cases in a 24-hour period. As some countries start to reopen their
"societies and economies, WHO strongly encourages individuals, communities, and nations to take measures to"
"reduce transmission, extend testing and contact tracing, and provide optimal care for every case. WHO has"
"published advice for the public and an extensive range of guidance documents, and is working across the globe"
to  support countries in the response to the pandemic.
WHO has released a timeline of the response to the COVID-19 pandemic listing some milestones and events
since the start of the outbreak 6 months ago.
""
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new death,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
Total deaths,Total deaths
Total new deaths,Total new death
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Afghanistan,31 238,271,733,4,Clusters of cases,0
Bahrain,25 705,438,83,5,Clusters of cases,0
Morocco,12 052,175,221,1,Clusters of cases,0
Sudan,9 258,0,572,0,Community transmission,2
Djibouti,4 643,0,52,0,Clusters of cases,2
Somalia,2 894,16,90,0,Sporadic cases,0
Lebanon,1 740,21,33,0,Clusters of cases,0
Tunisia,1 169,1,50,0,Sporadic cases,0
Yemen,1 122,15,303,6,Community transmission,0
Jordan,1 121,10,9,0,Clusters of cases,0
Libya,762,35,21,3,Clusters of cases,0
Syrian Arab Republic,256,0,9,0,Community transmission,1
Territoriesii,,,,,,
occupied Palestinian territory,2 248,195,7,0,Clusters of cases,0
Europe,,,,,,
Russian Federation,641 156,6 719,9 166,93,Clusters of cases,0
The United Kingdom,311 155,901,43 550,36,Community transmission,0
Spain,248 770,301,28 343,2,Community transmission,0
Italy,240 310,174,34 738,22,Community transmission,0
Turkey,197 239,1 356,5 097,15,Community transmission,0
Germany,193 761,262,8 961,4,Clusters of cases,0
France,156 156,0,29 700,0,Community transmission,2
Sweden,65 137,0,5 280,0,Community transmission,2
Belarus,61 475,380,383,6,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Belgium,61 361,152,9 732,0,Community transmission,0
Netherlands,50 147,73,6 105,0,Community transmission,0
Ukraine,43 628,646,1 147,18,Community transmission,0
Portugal,41 646,457,1 564,3,Community transmission,0
Poland,33 907,193,1 438,3,Community transmission,0
Switzerland,31 534,62,1 681,0,Community transmission,0
Romania,26 313,291,1 612,23,Community transmission,0
Ireland,25 439,2,1 735,1,Clusters of cases,0
Armenia,25 127,482,433,7,Community transmission,0
Israel,23 457,938,318,6,Pending,0
Kazakhstan,21 327,547,183,10,Clusters of cases,0
Austria,17 625,63,702,2,Community transmission,0
Azerbaijan,16 424,534,198,5,Clusters of cases,0
Republic of Moldova,16 250,170,533,7,Community transmission,0
Serbia,14 046,254,270,3,Pending,0
Denmark,12 675,0,604,0,Community transmission,2
Czechia,11 603,305,348,1,Clusters of cases,0
Norway,8 815,0,249,0,Clusters of cases,2
Uzbekistan,8 031,306,22,2,Clusters of cases,0
Finland,7 191,0,328,0,Pending,2
North Macedonia,6 092,186,286,9,Clusters of cases,0
Tajikistan,5 849,50,52,0,Pending,0
Kyrgyzstan,5 017,504,50,4,Clusters of cases,0
Bulgaria,4 691,66,219,3,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Luxembourg,4 242,25,110,0,Clusters of cases,0
Hungary,4 142,4,581,3,Community transmission,0
Bosnia and Herzegovina,4 107,0,179,0,Community transmission,1
Greece,3 376,10,191,0,Clusters of cases,0
Croatia,2 691,67,107,0,Sporadic cases,0
Albania,2 466,64,58,3,Clusters of cases,0
Estonia,1 987,1,69,0,Clusters of cases,0
Iceland,1 838,2,10,0,Community transmission,0
Lithuania,1 816,3,78,0,Community transmission,0
Slovakia,1 664,7,28,0,Clusters of cases,0
Slovenia,1 581,9,111,0,Clusters of cases,0
Latvia,1 116,1,30,0,Sporadic cases,0
Cyprus,994,0,19,0,Clusters of cases,1
Georgia,926,2,15,0,Sporadic cases,0
Andorra,855,0,52,0,Community transmission,10
San Marino,713,0,42,0,Community transmission,9
Malta,670,0,9,0,Sporadic cases,2
Montenegro,481,37,11,2,Clusters of cases,0
Monaco,99,0,1,0,Sporadic cases,22
Liechtenstein,83,0,1,0,Pending,64
Holy See,12,0,0,0,Sporadic cases,53
Territoriesii,,,,,,
Kosovo[1],2 634,87,38,1,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Isle of Man,336,0,24,0,Pending,38
Jersey,319,0,31,0,Community transmission,3
Guernsey,252,0,13,0,Community transmission,57
Faroe Islands,187,0,0,0,Pending,66
Gibraltar,177,1,0,0,Clusters of cases,0
Greenland,13,0,0,0,Pending,31
South-East Asia,,,,,,
India,548 318,19 459,16 475,380,Clusters of cases,0
Bangladesh,137 787,3 809,1 738,43,Community transmission,0
Indonesia,54 010,1 198,2 754,34,Community transmission,0
Nepal,12 772,463,28,0,Sporadic cases,0
Thailand,3 169,7,58,0,Clusters of cases,0
Maldives,2 324,19,8,0,Clusters of cases,0
Sri Lanka,2 037,4,11,0,Clusters of cases,0
Myanmar,299,3,6,0,Clusters of cases,0
Bhutan,76,0,0,0,Sporadic cases,1
Timor-Leste,24,0,0,0,No cases,66
Western Pacific,,,,,,
China,85 204,14,4 648,0,Clusters of cases,0
Singapore,43 459,213,26,0,Clusters of cases,0
Philippines,35 455,652,1 244,8,Community transmission,0
Japan,18 476,86,972,1,Clusters of cases,0
Republic of Korea,12 757,42,282,0,Clusters of cases,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Malaysia,8 634,18,121,0,Clusters of cases,0
Australia,7 686,45,104,0,Clusters of cases,0
New Zealand,1 178,2,22,0,Clusters of cases,0
Viet Nam,355,0,0,0,Clusters of cases,1
Mongolia,219,0,0,0,Sporadic cases,2
Brunei Darussalam,141,0,3,0,No cases,52
Cambodia,141,2,0,0,Sporadic cases,0
Lao People's Democratic Republic,19,0,0,0,Sporadic cases,77
Fiji,18,0,0,0,Sporadic cases,69
Papua New Guinea,11,0,0,0,Sporadic cases,3
Territoriesii,,,,,,
Guam,240,0,5,0,Clusters of cases,2
French Polynesia,62,0,0,0,Sporadic cases,1
Northern Mariana Islands,,,,,,
(Commonwealth of the),30,0,2,0,Pending,19
New Caledonia,21,0,0,0,Sporadic cases,19
Subtotal for all regions,10 020 660,178 328,499 900,4 153,,
Other*,741,0,13,0,Not applicable,-
Grand total,10 021 401,178 328,499 913,4 153,,
