WHO has published a  COVID-19 Monitoring and Evaluation Framework listing the key public health
"and essential health services and systems indicators to monitor preparedness, response, and situations"
during the COVID-19 pandemic.
WHO has updated a document on Operational Planning Guidelines to Support Country
Preparedness and Response. The document provides a practical guide that can be used by national
authorities to develop and update their COVID-19 national plans across the major pillars of COVID-19
preparedness and response.
WHO published an interim guidance on Framework for decision-making: implementation of mass
vaccination campaigns in the context of COVID-19. The document describes the principles to consider
when deliberating the implementation of mass vaccination campaigns for prevention of vaccine-
"preventable diseases and high impact diseases (VPD/HID), and when assessing risks and benefits of"
conducting outbreak-response vaccination campaigns to respond to VPD/HID outbreaks.
WHO has published an interim guidance on Controlling the spread of COVID-19 at ground crossings
"advising countries to reduce the spread of COVID-19 resulting from travel, transportation, and trade on"
and around ground crossings
""
Reporting Country/ Territory/Area,eporting Country/ Territory/Area
"",,,,,,,,,,,,,,,,,
Reporting Country/ Territory/Area,eporting Country/ Territory/Area,,Total confirmed,,,Total confirmed,,Total deaths,Total deaths,Total new deaths,Total new deaths,,Transmission,,,Days since last,
"",cases,new cases,classificationi,reported case,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,
"",frica,,,,,,,,,,,,,,,,
Total deaths,Total deaths
Total new deaths,Total new deaths
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
United Arab Emirates,27 892,994,241,4,Pending,0
Kuwait,19 564,955,138,9,Clusters of cases,0
Egypt,15 786,783,707,11,Clusters of cases,0
Afghanistan,9 866,650,211,6,Clusters of cases,0
Bahrain,8 414,240,12,0,Clusters of cases,0
Morocco,7 332,121,197,1,Clusters of cases,0
Oman,6 794,424,34,2,Clusters of cases,0
Iraq,3 964,87,147,7,Clusters of cases,0
Sudan,3 378,240,137,16,Community transmission,0
Djibouti,2 270,223,10,0,Clusters of cases,0
Somalia,1 594,0,61,0,Sporadic cases,1
Lebanon,1 086,62,26,0,Clusters of cases,0
Tunisia,1 048,2,47,0,Community transmission,0
Jordan,700,16,9,0,Clusters of cases,0
Yemen,209,12,34,1,Pending,0
Libya,72,1,3,0,Clusters of cases,0
Syrian Arab Republic,59,1,4,1,Community transmission,0
Territoriesii,,,,,,
occupied Palestinian territory,602,- 6,4,0,Clusters of cases,0
Europe,,,,,,
Russian Federation,335 882,9 434,3 388,139,Clusters of cases,0
The United Kingdom,254 199,3 287,36 393,351,Community transmission,0
Spain,234 824,1 787,28 628,688,Community transmission,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Italy,228 658,652,32 616,130,Community transmission,0
Germany,177 850,638,8 216,42,Community transmission,0
Turkey,154 500,952,4 276,27,Community transmission,0
France,141 949,359,28 238,74,Community transmission,0
Belgium,56 511,276,9 212,26,Community transmission,0
Netherlands,44 888,188,5 788,13,Community transmission,0
Belarus,34 303,0,190,0,Community transmission,1
Sweden,32 809,637,3 925,54,Community transmission,0
Switzerland,30 624,13,1 637,0,Community transmission,0
Portugal,30 200,288,1 289,12,Community transmission,0
Ireland,24 506,115,1 592,9,Community transmission,0
Poland,20 619,476,982,10,Community transmission,0
Ukraine,20 580,432,605,17,Community transmission,0
Romania,17 712,127,1 159,8,Community transmission,0
Israel,16 690,0,279,0,Pending,1
Austria,16 361,29,635,2,Community transmission,0
Denmark,11 230,48,561,0,Community transmission,0
Serbia,11 024,105,237,0,Pending,0
Czechia,8 813,59,312,6,Clusters of cases,0
Norway,8 309,41,235,1,Clusters of cases,0
Kazakhstan,7 919,322,35,0,Pending,0
Republic of Moldova,6 847,143,238,5,Pending,0
Finland,6 537,44,306,0,Pending,0
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Armenia,6 302,374,77,3,Clusters of cases,0
Luxembourg,3 981,1,109,0,Pending,0
Azerbaijan,3 855,106,46,2,Clusters of cases,0
Hungary,3 713,35,482,6,Community transmission,0
Uzbekistan,3 078,72,13,0,Clusters of cases,0
Greece,2 873,20,169,1,Clusters of cases,0
Tajikistan,2 551,201,44,0,Pending,0
Bulgaria,2 408,36,126,1,Clusters of cases,0
Bosnia and Herzegovina,2 371,19,140,1,Community transmission,0
Croatia,2 243,6,99,2,Community transmission,0
North Macedonia,1 921,23,112,1,Clusters of cases,0
Estonia,1 807,7,64,0,Pending,0
Iceland,1 803,0,10,0,Community transmission,2
Lithuania,1 604,10,61,0,Community transmission,0
Slovakia,1 503,1,28,0,Clusters of cases,0
Slovenia,1 478,10,106,0,Clusters of cases,0
Kyrgyzstan,1 365,15,14,0,Clusters of cases,0
Latvia,1 030,5,22,0,Clusters of cases,0
Albania,981,12,31,0,Clusters of cases,0
Cyprus,927,4,17,0,Clusters of cases,0
Andorra,762,0,51,0,Community transmission,2
Georgia,723,0,12,0,Community transmission,1
San Marino,672,0,41,0,Community transmission,1
Reporting Country/ Territory/Area,Total confirmed,Total confirmed,Total deaths,Total new deaths,Transmission,Days since last
"",cases,new cases,,,classificationi,reported case
Malta,600,1,6,0,Sporadic cases,0
Montenegro,324,0,9,0,Clusters of cases,17
Monaco,96,0,1,0,Sporadic cases,12
Liechtenstein,83,0,1,0,Pending,27
Holy See,12,0,0,0,Sporadic cases,16
Territoriesii,,,,,,
Kosovo[1],1 004,1,29,0,Community transmission,0
Isle of Man,336,0,24,0,Pending,1
Jersey,306,0,29,0,Community transmission,1
Guernsey,252,0,13,0,Community transmission,20
